Description,Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),Latitude,Longitude,Link
"1-Bedroom Unit (22D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","20,502,000",1,1,65,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-22d-for-sale-in-empress-at-capitol-commons-pasig-city.html
"The Mist Residences - Studio Unit for Sale in Bakakeng Central, Baguio City","Bakakeng Central, Baguio","3,800,000",1,1,28,na,16.39936,120.581264,https://www.lamudi.com.ph/the-mist-residences-studio-unit-for-sale-in-bakakeng-central-baguio-city.html
"ARIA RFO Townhouse for Sale in Idesia Dasmarinas Ph1, Special Discount 269K -Blk10 Lo...","San Agustin I, Dasmarinas","2,239,999",2,na,42,60,14.304975,120.944111,https://www.lamudi.com.ph/aria-rfo-townhouse-for-sale-in-idesia-dasmarinas-ph1-special-discount-269k-blk10-lot9.html
"RFO 4-Bedroom Unit for Sale in 1322 Roxas Boulevard, Manila","Roxas Boulevard, Manila",na,4,6,237,na,14.551476,120.9895887,https://www.lamudi.com.ph/rfo-4-bedroom-unit-for-sale-in-1322-roxas-boulevard-manila.html
Pre-Selling 1-Bedroom Unit (36 sqm) at The Sapphire Bloc East in Ortigas CBD,"Ortigas CBD, Pasig","8,500,000",1,1,36,na,14.587518,121.062753,https://www.lamudi.com.ph/pre-selling-1-bedroom-unit-36-sqm-at-the-sapphire-bloc-east-in-ortigas-cbd-1.html
"5-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Greta, NRFO","Longos, Malolos","10,151,000",5,na,166,143,14.8743986,120.7973062,https://www.lamudi.com.ph/5-bedroom-house-for-sale-at-camella-provence-in-malolos-city-bulacan-greta-nrfo.html
"RFO 4-Bedroom Unit 47D2 for Sale in 1322 Roxas Boulevard, Manila","Roxas Boulevard, Manila",na,4,6,237,na,14.551476,120.9895887,https://www.lamudi.com.ph/rfo-4-bedroom-unit-47d2-for-sale-in-1322-roxas-boulevard-manila.html
"2-Storey 4BR House and Lot (Amaya Model) for Sale in Suntrust Sentosa, Calamba, Lagun...","Punta, Calamba","7,032,800",4,na,149,176,14.176345,121.122173,https://www.lamudi.com.ph/2-storey-4br-house-and-lot-amaya-model-for-sale-in-suntrust-sentosa-calamba-laguna.html
"ARIA RFO Townhouse for Sale in Idesia Dasmarinas Ph1, Special Discount 269K -Blk10 Lo...","San Agustin I, Dasmarinas","2,239,999",2,na,42,60,14.304975,120.944111,https://www.lamudi.com.ph/aria-rfo-townhouse-for-sale-in-idesia-dasmarinas-ph1-special-discount-269k-blk10-lot61.html
Pre-Selling 1-Bedroom Unit in Moldex Residences Baguio - Davos Building,"Bakakeng Central, Baguio","4,800,000",1,1,28,na,16.39936,120.581264,https://www.lamudi.com.ph/pre-selling-1-bedroom-unit-in-moldex-residences-baguio-davos-building-1.html
"3BR House and Lot (Mariella Premium) for Sale in Suntrust Verona, Silang, Cavite","Lumil, Silang","4,956,000",3,na,93,88,14.183344,121.012375,https://www.lamudi.com.ph/3br-house-and-lot-mariella-premium-for-sale-in-suntrust-verona-silang-cavite.html
"RFO 2-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 312-E","Cupang, Muntinlupa","5,446,700",2,1,58,na,14.434669,121.040194,https://www.lamudi.com.ph/rfo-2-bedroom-condo-unit-for-sale-in-asia-enclaves-cupang-muntinlupa-city-312-e.html
"3BR Single Attached House and Lot for Sale in The Villages at Lipa, Brook Village, Ba...","Bugtong Na Pulo, Lipa","3,800,000",3,na,65,116,14.0042716,121.1705877,https://www.lamudi.com.ph/3br-single-attached-house-and-lot-for-sale-in-the-villages-at-lipa-brook-village-batangas-with-special-offer.html
"2-Bedroom Unit for Sale in Suntrust Solana, Ermita Manila","Ermita, Manila","4,900,000",2,1,39,na,14.590526,120.985482,https://www.lamudi.com.ph/2-bedroom-unit-for-sale-in-suntrust-solana-ermita-manila.html
"3-Bedroom Unit with Balcony for Sale, Cebu City","Talamban, Cebu","8,000,000",3,2,72,na,10.36171,123.911374,https://www.lamudi.com.ph/3-bedroom-unit-with-balcony-for-sale-cebu-city.html
"1-Bedroom Unit (3107) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,214,000",1,1,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3107-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
4-Bedroom Single Detached House and Lot for Sale in The Arcadia | Boundary of Angeles...,"Manibaug Paralaya, Porac","8,982,815",4,na,176,168,15.119767,120.560714,https://www.lamudi.com.ph/4-bedroom-single-detached-house-and-lot-for-sale-in-the-arcadia-boundary-of-angeles-and-porac-pampanga-athens-model.html
"2BR Condo Unit for Sale in Ibiza Tower at Circulo Verde, Bagumbayan, Quezon City | Un...","Bagumbayan, Quezon City","14,612,268",2,2,67,na,14.605396,121.081903,https://www.lamudi.com.ph/2br-condo-unit-for-sale-in-ibiza-tower-at-circulo-verde-bagumbayan-quezon-city-unit-11g.html
"Studio Unit (37.8 sqm) for Sale in La Vida Tower B, Pasay City","F.B Harisson, Pasay","5,006,400",1,1,37,na,14.55323,120.990226,https://www.lamudi.com.ph/studio-unit-37-8-sqm-for-sale-in-la-vida-tower-b-pasay-city.html
"2 bedroom Condominium for Sale in Suntrust Capitol Plaza, Diliman, Quezon City","Diliman, Quezon City","10,100,000",2,2,68,na,14.644874,121.050593,https://www.lamudi.com.ph/2-bedroom-condominium-for-sale-in-suntrust-capitol-plaza-diliman-quezon-city.html
"Azumi  Quadruplex Townhouse for Sale in Sentosa, Calamba Laguna","Punta, Calamba","2,459,200",3,na,80,60,14.176345,121.122173,https://www.lamudi.com.ph/azumi-quadruplex-townhouse-for-sale-in-sentosa-calamba-laguna.html
"2-Bedroom Condo (Unit H) for Sale in Suntrust Shanata, Novaliches Quezon City","Novaliches, Quezon City","6,363,100",2,1,35,na,14.68155,121.0198,https://www.lamudi.com.ph/2-bedroom-condo-unit-h-for-sale-in-suntrust-shanata-novaliches-quezon-city-1.html
"RFO 1-Bedroom Unit (40 sqm) in The Radiance Manila Bay North, Pasay City","Pasay Rotonda, Pasay","8,100,000",1,1,40,na,14.55781t,120.989,https://www.lamudi.com.ph/rfo-1-bedroom-unit-40-sqm-in-the-radiance-manila-bay-north-pasay-city-1.html
"2BR Unit (37.9 sqm) for Sale in Suntrust Kirana, Pasig City","Pinagbuhatan, Pasig","5,008,864",2,1,37,na,14.555535,121.090095,https://www.lamudi.com.ph/2br-unit-37-9-sqm-for-sale-in-suntrust-kirana-pasig-city.html
"For Sale: 2BR Condo Unit with Balcony in Legacy Leisure Residences, Ma-a, Davao City ...","Ma-A, Davao","8,535,732",2,2,76,na,7.0867489,125.5840299,https://www.lamudi.com.ph/for-sale-2br-condo-unit-with-balcony-in-legacy-leisure-residences-ma-a-davao-city-76-35-sqm.html
Pre-Selling 1-Bedroom Unit in Moldex Residences Baguio - Groden Building,"Bakakeng Central, Baguio","7,300,000",1,1,45,na,16.39936,120.581264,https://www.lamudi.com.ph/pre-selling-1-bedroom-unit-in-moldex-residences-baguio-groden-building-1.html
"2BR Condo Unit for Sale in Ibiza Tower at Circulo Verde, Bagumbayan, Quezon City | Un...","Bagumbayan, Quezon City","14,612,268",2,2,67,na,14.605396,121.081903,https://www.lamudi.com.ph/2br-condo-unit-for-sale-in-ibiza-tower-at-circulo-verde-bagumbayan-quezon-city-unit-17g.html
"For Sale: 2-Bedroom Unit in Metrotowne, Las Pinas City","Talon Uno, Las Pinas","6,500,000",2,1,48,na,14.446596,120.987165,https://www.lamudi.com.ph/for-sale-2-bedroom-unit-in-metrotowne-las-pinas-city.html
"House and Lot with 4 bedroom for Sale in Verona, Lumil, Silang- Gisella","Lumil, Silang","7,860,000",4,na,116,176,14.183344,121.012375,https://www.lamudi.com.ph/house-and-lot-with-4-bedroom-for-sale-in-verona-lumil-silang-gisella.html
"1-Bedroom Condo Unit with Balcony for Sale at Legacy Leisure Residences in Ma-a, Dava...","Ma-A, Davao","4,206,258",1,1,36,na,7.0867489,125.5840299,https://www.lamudi.com.ph/1-bedroom-condo-unit-with-balcony-for-sale-at-legacy-leisure-residences-in-ma-a-davao-city.html
1BR Unit (30 sqm) for Sale in Moldex Residences Silang Cavite near Dasmarinas,"Biluso, Silang","3,000,000",1,1,30,na,14.247941,120.952854,https://www.lamudi.com.ph/1br-unit-30-sqm-for-sale-in-moldex-residences-silang-cavite-near-dasmarinas.html
"Studio Condo Unit (16B) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong","7,278,411",1,1,32,na,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-16b-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"Cityland Pines Peak Tower II, 2-Bedroom Unit for Sale in Mandaluyong","Barangka Ilaya, Mandaluyong","5,208,904",2,2,44,na,14.571338,121.04641,https://www.lamudi.com.ph/cityland-pines-peak-tower-ii-2-bedroom-unit-for-sale-in-mandaluyong.html
"For Sale: 2-Bedroom Unit in Suntrust Kirana, Pasig City","Pinagbuhatan, Pasig","5,008,864",2,1,37,na,14.555535,121.090095,https://www.lamudi.com.ph/for-sale-2-bedroom-unit-in-suntrust-kirana-pasig-city.html
"2-Storey Townhouse (AMITA - End) for Sale in Amoa, Compostela, Cebu - with Special Of...","Tamiao, Compostela","4,200,000",2,na,53,70,10.44226,123.994411,https://www.lamudi.com.ph/2-storey-townhouse-amita-end-for-sale-in-amoa-compostela-cebu-with-special-offer.html
"4-Bedroom House and Lot (Gisella Model) for Sale in Suntrust Verona, Silang, Cavite","Lumil, Silang","7,860,000",4,na,116,176,14.183344,121.012375,https://www.lamudi.com.ph/4-bedroom-house-and-lot-gisella-model-for-sale-in-suntrust-verona-silang-cavite.html
3-Bedroom Single-Detached Bungalow House and Lot for Sale in The Emerald Residences P...,"Bagakay, Ozamiz","4,250,000",3,na,71,120,8.14369,123.813471,https://www.lamudi.com.ph/3-bedroom-single-detached-bungalow-house-and-lot-for-sale-in-the-emerald-residences-phase-1-bagakay-ozamiz-city-precious-model.html
"2BR Condo Unit for Sale in AMA Tower Residences, Wack-Wack Mandaluyong City | 5U","Wack-Wack Greenhills, Mandaluyong","16,414,733",2,1,69,na,14.592173,121.053333,https://www.lamudi.com.ph/2br-condo-unit-for-sale-in-ama-tower-residences-wack-wack-mandaluyong-city-5u.html
Ready for Occupancy 1Bedroom Condo in Bacoor | The Meridian,"Mambog I, Bacoor","4,715,100",1,1,30,na,14.4251071,120.9486663,https://www.lamudi.com.ph/ready-for-occupancy-1bedroom-condo-in-bacoor-the-meridian.html
"Studio Unit (5T303) for Sale in Studio City, Alabang, Muntinlupa City (for as low as ...","Alabang, Muntinlupa",na,1,1,16,na,14.4179774,121.037608,https://www.lamudi.com.ph/studio-unit-5t303-for-sale-in-studio-city-alabang-muntinlupa-city-for-as-low-as-php-11-800-monthly.html
"ARIA RFO Townhouse for Sale in Idesia Dasmarinas Ph1, Special Discount 269K -Blk10 Lo...","San Agustin I, Dasmarinas","2,239,999",2,na,42,60,14.304975,120.944111,https://www.lamudi.com.ph/aria-rfo-townhouse-for-sale-in-idesia-dasmarinas-ph1-special-discount-269k-blk10-lot17.html
"RFO Studio Unit (24.17 sqm) for Sale in Axis Residences B, Mandaluyong City","Barangka Ilaya, Mandaluyong","4,200,000",1,1,24,na,14.571338,121.04641,https://www.lamudi.com.ph/rfo-studio-unit-24-17-sqm-for-sale-in-axis-residences-b-mandaluyong-city-1.html
"3BR Single Detached House and Lot for Sale in The Villages at Lipa, Sierra Village, B...","Bugtong Na Pulo, Lipa","6,000,000",3,na,103,143,14.0042716,121.1705877,https://www.lamudi.com.ph/3br-single-detached-house-and-lot-for-sale-in-the-villages-at-lipa-sierra-village-batangas-with-special-offer.html
"1 bedroom Condominium for Sale in Suntrust Capitol Plaza, Diliman, Quezon City","Diliman, Quezon City","6,000,000",1,1,40,na,14.644874,121.050593,https://www.lamudi.com.ph/1-bedroom-condominium-for-sale-in-suntrust-capitol-plaza-diliman-quezon-city-2.html
Cityland One Premier - Studio Unit (17.31 sqm) for Sale in Las Pinas City,"Almanza Uno, Las Pinas","1,833,376",1,1,17,na,14.4324914,121.0140532,https://www.lamudi.com.ph/cityland-one-premier-studio-unit-17-31-sqm-for-sale-in-las-pinas-city.html
Metrotowne - Studio Unit for Sale in Las Pinas City,"Talon Uno, Las Pinas","2,600,000",1,1,22,na,14.446596,120.987165,https://www.lamudi.com.ph/metrotowne-studio-unit-for-sale-in-las-pinas-city.html
"Brentville International Community - West Parc (Lot only) in Binan, Laguna","Mampalasan, Binan","17,500,000",na,na,na,500,14.2923053,121.0810444,https://www.lamudi.com.ph/brentville-international-community-west-parc-lot-only-in-binan-laguna.html
"Pre-Selling 1-Bedroom Unit (34 sqm) in Sierra Valley Gardens 1, Cainta, Rizal","San Juan, Cainta","5,400,000",1,1,34,na,14.583362,121.130727,https://www.lamudi.com.ph/pre-selling-1-bedroom-unit-34-sqm-in-sierra-valley-gardens-1-cainta-rizal-1.html
"Pre-Selling 1BR Unit (32.02 sqm) in Acacia Escalades B, Pasig City","Manggahan, Pasig","4,200,000",1,1,32,na,14.601887,121.093698,https://www.lamudi.com.ph/pre-selling-1br-unit-32-02-sqm-in-acacia-escalades-b-pasig-city-1.html
"The Glades at Timberland Heights - Lot for Sale in San Mateo Rizal, Blk10 Lot 14 (for...","Malanday, San Mateo",na,na,na,na,197,14.7035,121.137281,https://www.lamudi.com.ph/the-glades-at-timberland-heights-lot-for-sale-in-san-mateo-rizal-blk10-lot-14-for-as-low-as-php-33-000-monthly.html
"2-Bedroom Condo (Unit A) for Sale in Suntrust Shanata, Novaliches Quezon City","Novaliches, Quezon City","6,363,100",2,1,35,na,14.68155,121.0198,https://www.lamudi.com.ph/2-bedroom-condo-unit-a-for-sale-in-suntrust-shanata-novaliches-quezon-city-1.html
Pre-Selling 2-Bedroom Unit in Moldex Residences Baguio - Davos Building,"Bakakeng Central, Baguio","9,400,000",2,1,57,na,16.39936,120.581264,https://www.lamudi.com.ph/pre-selling-2-bedroom-unit-in-moldex-residences-baguio-davos-building-1.html
"1-Bedroom Unit (40 sqm) for Sale in City Clou, Cebu City","Zapatera, Cebu","5,307,970",1,1,40,na,10.305725,123.904993,https://www.lamudi.com.ph/1-bedroom-unit-40-sqm-for-sale-in-city-clou-cebu-city.html
"2-Storey 5BR House and Lot (Amadea Model) for Sale in Siena Hills, Lipa City, Batanga...","Antipolo del Sur, Lipa","8,215,625",5,na,179,176,13.91295t,121.185,https://www.lamudi.com.ph/2-storey-5br-house-and-lot-amadea-model-for-sale-in-siena-hills-lipa-city-batangas.html
"Studio - Finished Condo Unit for Sale in The Persimmon Studios, Cebu City - with Spec...","Mabolo, Cebu","3,700,000",1,1,24,na,10.31581,123.918231,https://www.lamudi.com.ph/studio-finished-condo-unit-for-sale-in-the-persimmon-studios-cebu-city-with-special-offer.html
Pre-Selling 1BR Executive (58 sqm) in The Magnolia Residences D at New Manila QC,"New Manila, Quezon City","10,500,000",1,1,58,na,14.61416t,121.039,https://www.lamudi.com.ph/pre-selling-1br-executive-58-sqm-in-the-magnolia-residences-d-at-new-manila-qc-1.html
"Office Unit for Sale (67 sq.m.) in Parkway Corporate Center, Alabang (for as low as P...","Alabang, Muntinlupa",na,na,na,67,na,14.4179774,121.037608,https://www.lamudi.com.ph/office-unit-for-sale-67-sq-m-in-parkway-corporate-center-alabang-for-as-low-as-php-69-000-monthly.html
"3-Bedroom Unit (139 sqm) for Sale in The Signature, Balintawak Quezon City","Pag-Ibig Sa Nayon, Quezon City","21,700,000",3,2,139,na,14.646511,120.996952,https://www.lamudi.com.ph/3-bedroom-unit-139-sqm-for-sale-in-the-signature-balintawak-quezon-city.html
"The Mist Residences - 3-Bedroom Unit for Sale in Bakakeng Central, Baguio City","Bakakeng Central, Baguio","7,800,000",3,1,60,na,16.39936,120.581264,https://www.lamudi.com.ph/the-mist-residences-3-bedroom-unit-for-sale-in-bakakeng-central-baguio-city.html
"Pre-selling Studio Unit (30 sqm) in Aurora Escalades, Cubao Quezon City","Cubao, Quezon City","5,600,000",1,1,30,na,14.61777,121.0572,https://www.lamudi.com.ph/pre-selling-studio-unit-30-sqm-in-aurora-escalades-cubao-quezon-city-1.html
"Studio Condo Unit (29E) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong","8,107,899",1,1,33,na,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-29e-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"3-Bedroom Unit for Sale in The Mist Residences, Bakakeng Central, Baguio City","Bakakeng Central, Baguio","7,800,000",3,1,60,na,16.39936,120.581264,https://www.lamudi.com.ph/3-bedroom-unit-for-sale-in-the-mist-residences-bakakeng-central-baguio-city.html
"3-Bedroom Beach House and Lot for Sale in Seafront Residences, San Juan, Batangas - w...","Calubcub II, San Juan","11,300,000",3,na,100,200,13.74067t,121.428,https://www.lamudi.com.ph/3-bedroom-beach-house-and-lot-for-sale-in-seafront-residences-san-juan-batangas-with-special-offer.html
"2BR Unit for Sale in Suntrust Amadea Tower 2, Quezon City, 5.5M","Paligsahan, Quezon City","5,479,920",2,1,36,na,14.631613,121.023475,https://www.lamudi.com.ph/2br-unit-for-sale-in-suntrust-amadea-tower-2-quezon-city-5-5m.html
"3-Bedroom Single Detached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - w...","Valle Cruz, Cabanatuan","4,700,000",3,na,81,110,15.47877,120.995348,https://www.lamudi.com.ph/3-bedroom-single-detached-house-and-lot-for-sale-in-ajoya-cabanatuan-nueva-ecija-with-special-offer.html
TALIA 2-Storey Single Attached (Irregular) for Sale in Idesia Dasmarinas Phase 1,"San Agustin I, Dasmarinas","4,100,000",2,na,52,83,14.304975,120.944111,https://www.lamudi.com.ph/talia-2-storey-single-attached-irregular-for-sale-in-idesia-dasmarinas-phase-1.html
Pre-Selling 1BR (78.96 sqm) at The Residences At The Westin Manila Sonata Place,"Ortigas CBD, Pasig","21,037,273",1,1,78,na,14.5808822,121.05885,https://www.lamudi.com.ph/pre-selling-1br-78-96-sqm-at-the-residences-at-the-westin-manila-sonata-place-1.html
TALIA 2-Storey Single Attached (Irregular) for Sale in Idesia Dasmarinas Phase 1,"San Agustin I, Dasmarinas","4,100,000",2,na,52,83,14.304975,120.944111,https://www.lamudi.com.ph/talia-2-storey-single-attached-irregular-for-sale-in-idesia-dasmarinas-phase-1.html
"Studio Unit for Sale in Metrotowne, Las Pinas City","Talon Uno, Las Pinas","2,600,000",1,1,22,na,14.446596,120.987165,https://www.lamudi.com.ph/studio-unit-for-sale-in-metrotowne-las-pinas-city.html
